holiday_date,holiday_name,day_before_holiday,holiday_weekday,preholiday_weekday
2011-01-01,New Year's Day,2010-12-31,Saturday,Friday
2011-04-21,Maundy Thursday,2011-04-20,Thursday,Wednesday
2011-04-22,Good Friday,2011-04-21,Friday,Thursday
2011-04-24,Easter Sunday,2011-04-23,Sunday,Saturday
2011-04-25,Easter Monday,2011-04-24,Monday,Sunday
2011-05-20,Great Prayer Day,2011-05-19,Friday,Thursday
2011-06-02,Ascension Day,2011-06-01,Thursday,Wednesday
2011-06-12,Whit Sunday,2011-06-11,Sunday,Saturday
2011-06-13,Whit Monday,2011-06-12,Monday,Sunday
2011-12-25,Christmas Day,2011-12-24,Sunday,Saturday
2011-12-26,Second Day of Christmas,2011-12-25,Monday,Sunday
2012-01-01,New Year's Day,2011-12-31,Sunday,Saturday
2012-04-05,Maundy Thursday,2012-04-04,Thursday,Wednesday
2012-04-06,Good Friday,2012-04-05,Friday,Thursday
2012-04-08,Easter Sunday,2012-04-07,Sunday,Saturday
2012-04-09,Easter Monday,2012-04-08,Monday,Sunday
2012-05-04,Great Prayer Day,2012-05-03,Friday,Thursday
2012-05-17,Ascension Day,2012-05-16,Thursday,Wednesday
2012-05-27,Whit Sunday,2012-05-26,Sunday,Saturday
2012-05-28,Whit Monday,2012-05-27,Monday,Sunday
2012-12-25,Christmas Day,2012-12-24,Tuesday,Monday
2012-12-26,Second Day of Christmas,2012-12-25,Wednesday,Tuesday
2013-01-01,New Year's Day,2012-12-31,Tuesday,Monday
2013-03-28,Maundy Thursday,2013-03-27,Thursday,Wednesday
2013-03-29,Good Friday,2013-03-28,Friday,Thursday
2013-03-31,Easter Sunday,2013-03-30,Sunday,Saturday
2013-04-01,Easter Monday,2013-03-31,Monday,Sunday
2013-04-26,Great Prayer Day,2013-04-25,Friday,Thursday
2013-05-09,Ascension Day,2013-05-08,Thursday,Wednesday
2013-05-19,Whit Sunday,2013-05-18,Sunday,Saturday
2013-05-20,Whit Monday,2013-05-19,Monday,Sunday
2013-12-25,Christmas Day,2013-12-24,Wednesday,Tuesday
2013-12-26,Second Day of Christmas,2013-12-25,Thursday,Wednesday
2014-01-01,New Year's Day,2013-12-31,Wednesday,Tuesday
2014-04-17,Maundy Thursday,2014-04-16,Thursday,Wednesday
2014-04-18,Good Friday,2014-04-17,Friday,Thursday
2014-04-20,Easter Sunday,2014-04-19,Sunday,Saturday
2014-04-21,Easter Monday,2014-04-20,Monday,Sunday
2014-05-16,Great Prayer Day,2014-05-15,Friday,Thursday
2014-05-29,Ascension Day,2014-05-28,Thursday,Wednesday
2014-06-08,Whit Sunday,2014-06-07,Sunday,Saturday
2014-06-09,Whit Monday,2014-06-08,Monday,Sunday
2014-12-25,Christmas Day,2014-12-24,Thursday,Wednesday
2014-12-26,Second Day of Christmas,2014-12-25,Friday,Thursday
