count,bin_left,bin_right
56091,-0.149,3.688
5497,3.688,7.375
2510,7.375,11.062
1170,11.062,14.75
356,14.75,18.438
285,18.438,22.125
332,22.125,25.812
55,25.812,29.5
3,29.5,33.188
31,33.188,36.875
0,36.875,40.562
3,40.562,44.25
3,44.25,47.938
0,47.938,51.625
0,51.625,55.312
0,55.312,59.0
0,59.0,62.688
0,62.688,66.375
0,66.375,70.062
0,70.062,73.75
0,73.75,77.438
0,77.438,81.125
0,81.125,84.812
0,84.812,88.5
0,88.5,92.188
0,92.188,95.875
0,95.875,99.562
0,99.562,103.25
0,103.25,106.938
0,106.938,110.625
0,110.625,114.312
0,114.312,118.0
0,118.0,121.688
0,121.688,125.375
31,125.375,129.062
0,129.062,132.75
0,132.75,136.438
0,136.438,140.125
0,140.125,143.812
52,143.812,147.5
